player_id,player_name,position,age,season,team,fantasy_points_ppr,fantasy_points_standard
00-0039793,A.J. Barner,TE,22,2024,SEA,76,46
00-0031609,A.J. Derby,TE,25,2016,DEN,29,13
00-0031609,A.J. Derby,TE,26,2017,DEN,50,31
00-0031609,A.J. Derby,TE,26,2017,MIA,4,2
00-0031609,A.J. Derby,TE,27,2018,MIA,14,11
00-0027713,Aaron Hernandez,TE,23,2012,NE,30,15
00-0027713,Aaron Hernandez,TE,23,2012,NE,124,73
00-0033896,Adam Shaheen,TE,23,2017,CHI,43,31
00-0033896,Adam Shaheen,TE,24,2018,CHI,16,11
00-0033896,Adam Shaheen,TE,25,2019,CHI,16,7
00-0033896,Adam Shaheen,TE,26,2020,MIA,45,33
00-0033896,Adam Shaheen,TE,27,2021,MIA,17,9
00-0036422,Adam Trautman,TE,23,2020,NO,38,23
00-0036422,Adam Trautman,TE,24,2021,NO,50,25
00-0036422,Adam Trautman,TE,25,2022,NO,45,27
00-0036422,Adam Trautman,TE,26,2023,DEN,58,36
00-0036422,Adam Trautman,TE,27,2024,DEN,44,31
00-0036423,Albert Okwuegbunam,TE,22,2020,DEN,29,18
00-0036423,Albert Okwuegbunam,TE,23,2021,DEN,62,36
00-0036423,Albert Okwuegbunam,TE,24,2022,DEN,26,16
00-0036423,Albert Okwuegbunam,TE,25,2023,PHI,0,0
00-0032864,Alex Ellis,TE,23,2016,JAX,4,1
00-0037292,Andrew Ogletree,TE,25,2023,IND,36,27
00-0037292,Andrew Ogletree,TE,26,2024,IND,24,15
00-0024268,Anthony Fasano,TE,28,2012,MIA,100,59
00-0024268,Anthony Fasano,TE,29,2013,KC,57,34
00-0024268,Anthony Fasano,TE,30,2014,KC,70,45
00-0024268,Anthony Fasano,TE,31,2015,TEN,63,37
00-0024268,Anthony Fasano,TE,32,2016,TEN,28,20
00-0024268,Anthony Fasano,TE,33,2017,MIA,25,13
00-0033455,Anthony Firkser,TE,23,2018,TEN,43,26
00-0033455,Anthony Firkser,TE,24,2019,TEN,9,8
00-0033455,Anthony Firkser,TE,24,2019,TEN,38,24
