player_id,player_name,position,birth_year,draft_year,draft_round,draft_pick,draft_ovr,height,weight,college,season,team,conference,division,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,safety,interception,def_touchdown,defensive_two_point_attempt,fumble_forced,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,fantasy_points_ppr,fantasy_points_standard,defense_snaps,team_defense_snaps,depth_team,games_missed,defense_pct,age,seasons_played,games_played_season,games_played_career,career_solo_tackle,career_assist_tackle,career_tackle_with_assist,career_sack,career_qb_hit,career_safety,career_interception,career_def_touchdown,career_defensive_two_point_attempt,career_fumble_forced,career_defensive_two_point_conv,career_defensive_extra_point_attempt,career_defensive_extra_point_conv,career_fantasy_points_ppr,career_fantasy_points_standard,career_defense_snaps,career_team_defense_snaps,season_average_solo_tackle,career_average_solo_tackle,season_average_assist_tackle,career_average_assist_tackle,season_average_tackle_with_assist,career_average_tackle_with_assist,season_average_sack,career_average_sack,season_average_qb_hit,career_average_qb_hit,season_average_safety,career_average_safety,season_average_interception,career_average_interception,season_average_def_touchdown,career_average_def_touchdown,season_average_defensive_two_point_attempt,career_average_defensive_two_point_attempt,season_average_fumble_forced,career_average_fumble_forced,season_average_defensive_two_point_conv,career_average_defensive_two_point_conv,season_average_defensive_extra_point_attempt,career_average_defensive_extra_point_attempt,season_average_defensive_extra_point_conv,career_average_defensive_extra_point_conv,season_average_fantasy_points_ppr,career_average_fantasy_points_ppr,season_average_fantasy_points_standard,career_average_fantasy_points_standard,season_average_defense_snaps,career_average_defense_snaps,season_average_team_defense_snaps,career_average_team_defense_snaps,delta_def_touchdown,delta_fantasy_points_ppr,delta_fantasy_points_standard,delta_defense_snaps,delta_team_defense_snaps,delta_depth_team,delta_games_missed,delta_defense_pct,delta_career_solo_tackle,delta_career_assist_tackle,delta_career_tackle_with_assist,delta_career_sack,delta_career_qb_hit,delta_career_safety,delta_career_interception,delta_career_def_touchdown,delta_career_defensive_two_point_attempt,delta_career_fumble_forced,delta_career_defensive_two_point_conv,delta_career_defensive_extra_point_attempt,delta_career_defensive_extra_point_conv,delta_career_fantasy_points_ppr,delta_career_fantasy_points_standard,delta_career_defense_snaps,delta_career_team_defense_snaps,delta_season_average_solo_tackle,delta_career_average_solo_tackle,delta_season_average_assist_tackle,delta_career_average_assist_tackle,delta_season_average_tackle_with_assist,delta_career_average_tackle_with_assist,delta_season_average_sack,delta_career_average_sack,delta_season_average_qb_hit,delta_career_average_qb_hit,delta_season_average_safety,delta_career_average_safety,delta_season_average_interception,delta_career_average_interception,delta_season_average_def_touchdown,delta_career_average_def_touchdown,delta_season_average_defensive_two_point_attempt,delta_career_average_defensive_two_point_attempt,delta_season_average_fumble_forced,delta_career_average_fumble_forced,delta_season_average_defensive_two_point_conv,delta_career_average_defensive_two_point_conv,delta_season_average_defensive_extra_point_attempt,delta_career_average_defensive_extra_point_attempt,delta_season_average_defensive_extra_point_conv,delta_career_average_defensive_extra_point_conv,delta_season_average_fantasy_points_ppr,delta_career_average_fantasy_points_ppr,delta_season_average_fantasy_points_standard,delta_career_average_fantasy_points_standard,delta_season_average_defense_snaps,delta_career_average_defense_snaps,delta_season_average_team_defense_snaps,delta_career_average_team_defense_snaps
00-0027282,Ben Garland,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2016,ATL,NFC,South,8.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,31.0,242.0,2.0,14,0.128099173553719,0.0,0.0,4.0,4,8.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,242.0,0.42,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,12.74,0.0,0.0,0.0,0.0,-0.904320987654321,-0.6857142857142857,0.0,1.7999999999999998,-0.6955667789001123,-0.813953488372093,-1.0,-1.0,-0.1666666666666666,-0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9565217391304348,-0.8932980599647267,-0.6612903225806452,0.0,-1.0,0.0,-1.0,0.0,0.4444444444444446,0.0,-0.3658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9144805876180484,0.0,-0.7187017001545595,0.0
00-0027282,Ben Garland,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2018,CAR,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,16,0.0,0.0,0.0,1.0,5,9.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,242.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.2,0.0,-0.8846153846153846,-1.0,-1.0,-0.4545454545454546,-0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.978122794636556,-0.939150113150616,-0.94,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2014,HOU,AFC,South,50.0,9.0,4.0,0.0,7.0,0.0,6.0,2.0,0.0,2,0.0,0.0,0.0,0,0,615.0,919.0,2.0,4,0.6692056583242655,23.0,1.0,13.0,13,50.0,9.0,4.0,0.0,7.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,615.0,919.0,2.94,50.0,0.53,9.0,0.24,4.0,0.0,0.0,0.41,7.0,0.0,0.0,0.35,6.0,0.12,2.0,0.0,0.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.18,615.0,54.06,919.0,0.0,0.0,0.0,3.183673469387755,3.4396135265700485,0.0,-0.7142857142857143,-0.0576491750127691,6.142857142857143,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.183673469387755,3.4396135265700485,5.25531914893617,-0.7191011235955056,0.606060606060606,-0.8200000000000001,2.428571428571428,-0.7142857142857143,0.0,-1.0,0.0,-0.851063829787234,0.0,0.0,0.0,-0.25,0.0,-0.5,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.691836734693877,-0.589726484322882,2.917391304347826,-0.5820827648931333
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2015,HOU,AFC,South,15.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0,190.0,652.0,2.0,8,0.2914110429447852,24.0,2.0,10.0,23,65.0,9.0,4.0,0.0,9.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,805.0,1571.0,0.83,32.5,0.0,4.5,0.0,2.0,0.0,0.0,0.11,4.5,0.0,0.0,0.22,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56,402.5,36.22,785.5,0.0,0.0,0.0,0.2925170068027212,0.4456762749445675,0.0,-0.2727272727272727,-0.1059429906932097,2.4210526315789473,-0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6425339366515836,1.562805872756933,-0.3360000000000001,-0.5987654320987654,-1.0,-0.7954545454545454,0.0,-0.6666666666666667,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1379591836734693,-0.7635135135135135,-0.0361894624800425,-0.6155163974547234
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2016,HOU,AFC,South,64.0,17.0,5.0,4.0,8.0,0.0,8.0,0.0,0.0,2,0.0,0.0,0.0,0,0,865.0,1079.0,2.0,2,0.8016682113067656,25.0,3.0,17.0,40,129.0,26.0,9.0,4.0,17.0,0.0,18.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1670.0,2650.0,3.37,43.0,0.89,8.67,0.26,3.0,0.21,1.33,0.42,5.67,0.0,0.0,0.42,6.0,0.0,0.67,0.0,0.0,0.11,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.53,556.67,56.79,883.33,0.0,0.0,0.0,0.9265033407572384,-0.0208711433756806,0.0,1.0,0.9675687502451128,2.7941176470588234,1.0,0.0,-0.4285714285714286,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7193763919821827,1.4047186932849365,0.7830687830687832,0.162162162162162,0.2361111111111111,-0.5436842105263158,0.0,-0.5,-0.4615384615384615,-0.867,0.0769230769230768,-0.433,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.6675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8255813953488371,0.0809126213592232,-0.0723619732113688,-0.3528717948717949
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2017,JAX,AFC,South,80.0,5.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1190.0,1215.0,1.0,2,0.9794238683127572,26.0,4.0,18.0,58,209.0,31.0,9.0,4.0,20.0,0.0,30.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2860.0,3865.0,4.0,52.25,0.25,7.75,0.0,2.25,0.0,1.0,0.15,5.0,0.0,0.0,0.6,7.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,715.0,60.75,966.25,-1.0,0.0,0.0,0.7271407837445574,0.187683284457478,0.0,0.0,0.4542098944614667,1.943661971830986,-0.1621621621621621,2.0,-0.6,0.25,0.0,9.0,-0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5131810193321615,0.8188235294117647,0.8348623853211008,-0.2640845070422535,-0.8226950354609929,-0.7905405405405406,-1.0,-0.25,-1.0,-0.9,-0.7169811320754718,-0.6875,0.0,0.0,2.3333333333333335,1.5,-1.0,-0.8333333333333334,0.0,0.0,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468048359240069,-0.3717047451669596,0.0094715852442672,-0.5452941176470588
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2018,JAX,AFC,South,48.0,8.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0,827.0,830.0,1.0,4,0.9963855421686748,27.0,5.0,13.0,71,257.0,39.0,12.0,4.0,23.0,0.0,32.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3687.0,4695.0,3.0,51.4,0.5,7.8,0.19,2.4,0.0,0.8,0.19,4.6,0.0,0.0,0.12,6.4,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.69,737.4,51.88,939.0,0.0,0.0,0.0,0.9927710843373494,0.0246913580246914,-0.5,0.0,0.9447525039918708,1.3577981651376143,-0.3157894736842105,0.0909090909090908,-0.7142857142857143,0.0,0.0,9.666666666666666,-0.3333333333333333,0.0,-0.1999999999999999,0.0,0.0,0.0,0.0,0.0,1.374114616870573,0.5996592844974447,0.2605042016806722,-0.0568807339449541,-0.6,-0.7263157894736842,-0.62,-0.5636363636363637,-1.0,-0.8857142857142857,-0.5681818181818181,-0.6000000000000001,0.0,0.0,0.0,3.2666666666666666,0.0,-0.7333333333333334,0.0,0.0,-1.0,-0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992675404780262,-0.0503541532517708,0.0248913472935599,-0.3601362862010221
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2019,JAX,AFC,South,51.0,17.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0,930.0,932.0,1.0,3,0.9978540772532188,28.0,6.0,14.0,85,308.0,56.0,16.0,4.0,27.0,0.0,34.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4617.0,5627.0,3.19,51.33,1.06,9.33,0.25,2.67,0.0,0.67,0.25,4.5,0.0,0.0,0.12,5.67,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.12,769.5,58.25,937.83,0.0,0.0,0.0,0.901840490797546,0.1121718377088305,0.0,-0.4,0.7100239606098107,1.1843971631205674,-0.2222222222222222,0.0,-0.8095238095238095,-0.0999999999999999,0.0,10.333333333333334,-0.3333333333333333,0.0,-0.4285714285714286,0.0,0.0,0.0,0.0,0.0,1.2610186092066602,0.4913861648555526,0.3930131004366812,0.092127659574468,-0.0093457943925233,-0.6112500000000001,-0.3055555555555556,-0.49906191369606,-1.0,-0.9042857142857142,-0.5,-0.55,0.0,0.0,0.0,4.67,0.0,-0.6699999999999999,0.0,0.0,-1.0,-0.7124463519313304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6638992270254795,0.1305037683458945,-0.026896090878717,-0.2543115443637838
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2020,DEN,AFC,West,22.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0,410.0,484.0,1.0,10,0.8471074380165289,29.0,7.0,7.0,92,330.0,58.0,16.0,4.0,30.0,0.0,35.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5027.0,6111.0,1.69,47.14,0.15,8.29,0.0,2.29,0.0,0.57,0.23,4.29,0.0,0.0,0.08,5.0,0.0,0.29,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.54,718.14,37.23,873.0,0.0,0.0,0.0,1.7891156462585034,-0.2542372881355932,-0.5,0.1111111111111111,2.739950525664811,1.2000000000000002,-0.3012048192771084,-0.2380952380952381,-0.8095238095238095,-0.032258064516129,0.0,10.666666666666666,-0.3333333333333333,0.0,-0.5555555555555556,0.0,0.0,0.0,0.0,0.0,1.2964824120603016,0.3819538670284939,2.595744680851064,0.2570666666666668,-0.7413793103448276,-0.6004819277108434,-1.0,-0.5638095238095238,0.0,-0.8914285714285715,3.5999999999999996,-0.4464516129032257,0.0,0.0,0.0,5.666666666666667,0.0,-0.6133333333333333,0.0,0.0,-1.0,-0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0749354005167957,0.3122704431247145,0.089871194379391,-0.2103120759837178
00-0030228,A.J. Bouye,CB,1991,2013.0,0.0,0.0,0.0,72.0,191.0,Central Florida,2021,CAR,NFC,South,23.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0,403.0,669.0,1.0,8,0.6023916292974589,30.0,8.0,10.0,102,353.0,65.0,19.0,4.0,31.0,0.0,35.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5430.0,6780.0,1.64,44.12,0.5,8.12,0.21,2.38,0.0,0.5,0.07,3.88,0.0,0.0,0.0,4.38,0.0,0.25,0.0,0.0,0.14,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.79,678.75,47.79,847.5,0.0,0.0,0.0,-0.3283333333333333,-0.499251497005988,0.0,3.0,0.3413253612356752,0.8385416666666667,-0.5323741007194245,-0.5681818181818181,-0.875,-0.2619047619047618,0.0,10.666666666666666,-0.3333333333333333,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.9469343850842596,0.1774921847863841,-0.1413612565445026,0.1489583333333333,-0.803921568627451,-0.7079136690647483,-0.8,-0.7295454545454545,-1.0,-0.921875,-0.86,-0.5380952380952382,0.0,0.0,0.0,6.3,0.0,-0.5833333333333333,0.0,0.0,-0.4814814814814815,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557389072240557,0.2168339906776624,-0.2130742631318952,-0.2640673845085098
